Date,Close/Last,Volume,Open,High,Low
06/08/2020,$730.67,1889543,$715,$731.15,$708.01
06/05/2020,$727.77,2477292,$721.1,$740.86,$702.02
06/04/2020,$735.19,2767227,$763.91,$777.22,$726.035
06/03/2020,$762.02,1892006,$777.93,$779.08,$758.3787
06/02/2020,$779.5,2664397,$764.43,$784.3,$744
06/01/2020,$758,1843296,$754.72,$759.25,$739.52
05/29/2020,$757.8,3306874,$756.15,$769.39,$738
05/28/2020,$744.43,3760645,$728.01,$770.4,$727.825
05/27/2020,$750,6859611,$755.01,$757,$685
05/26/2020,$767.89,6465102,$842,$844,$742.37
05/22/2020,$825.17,2773608,$804.63,$826.3799,$793.64
05/21/2020,$802.35,4136483,$791.86,$809.87,$782.07
05/20/2020,$778,3238975,$768,$778,$751.74
05/19/2020,$753.01,5264386,$745.42,$765,$713.19
05/18/2020,$738.02,3675142,$770,$770.73,$733
05/15/2020,$767,3023514,$754.3,$774.79,$751.25
05/14/2020,$754.29,2847474,$749.89,$758.09,$733
05/13/2020,$754.38,4369565,$750,$768.59,$717.29
05/12/2020,$742.28,3696063,$769,$770.95,$733.95
05/11/2020,$750.34,3673800,$706.96,$752.5,$703.78
05/08/2020,$708.97,4084060,$705.55,$721,$703
05/07/2020,$722.76,4603407,$719.94,$738.71,$715
05/06/2020,$733.53,6925170,$672.88,$739.24,$669
05/05/2020,$686.11,5143654,$670,$704.69,$662.0001
05/04/2020,$658.89,2759829,$620.64,$658.9,$617.01
05/01/2020,$613.64,2521171,$615,$627.86,$595.03
04/30/2020,$632.29,2445971,$625,$645.9801,$623
04/29/2020,$639.99,2403935,$637,$645.55,$621.13
04/28/2020,$633.65,3685688,$634,$639.76,$610.1
04/27/2020,$628.58,4029955,$662.6,$662.6,$623.04
04/24/2020,$643.19,5451423,$624,$651.99,$605.6
04/23/2020,$620.49,4383919,$631.3,$639.84,$610.39
04/22/2020,$626.56,5031634,$615.99,$635,$603.2
04/21/2020,$585,11050660,$647,$665.74,$556.01
04/20/2020,$629.9,6830488,$585,$644.9499,$584
04/17/2020,$590.39,6141703,$540.5,$591.83,$539
04/16/2020,$526.43,3704909,$508.5,$529.13,$502.0101
04/15/2020,$497.17,2684274,$481.12,$500.44,$477.11
04/14/2020,$496.06,3746605,$467.03,$501.47,$461.34
04/13/2020,$447.45,3120198,$423.7,$453.351,$417.81
04/09/2020,$417.74,2935360,$422.51,$439,$413
04/08/2020,$414.51,3353194,$383,$417.57,$381.31
04/07/2020,$378.54,3214230,$408.99,$408.99,$374.02
04/06/2020,$392.65,2766615,$380,$393.57,$369.3
04/03/2020,$357.65,2615891,$358.03,$363.79,$345
04/02/2020,$346.3,5205483,$350,$365.94,$334.55
04/01/2020,$384.67,2272731,$402.99,$406,$381.53
03/31/2020,$416.93,1953223,$428.08,$439.59,$414
03/30/2020,$430.38,1598841,$423.49,$434.89,$412.011
03/27/2020,$421.62,2569281,$427.61,$433.36,$412.02
